Timestamp [us],RTC Count,Notes,GoPro Index,Command,Message Ack Time [us]
1678380666259656,-1,Restarted! | ,0,1,1678380666371654
1678380666371753,-1,,1,1,1678380666483305
1678380666483417,-1,,2,1,1678380666595099
1678380666595224,-1,,3,1,1678380666706802
1678380781712348,-1,,0,2,1678380781835439
1678380781835668,-1,,1,2,1678380781955347
1678380781955543,-1,,2,2,1678380782079607
1678380782079806,-1,,3,2,1678380782199618
1678398258981293,-1,Restarted! | ,0,1,7
1678398260093820,-1,,1,1,7
1678398454093649,-1,Restarted! | ,0,1,1678398466768919
1678398522506213,-1,Restarted! | ,0,1,1678398534782226
1678398564359101,-1,Restarted! | ,0,1,1678398577772456
1678398632850132,-1,Restarted! | ,0,1,1678398646768442
1678398704178712,-1,Restarted! | ,0,1,1678398717766236
1678398717766390,-1,,1,1,1678398730783041
1678399281492904,-1,Restarted! | ,0,1,1678399293792766
1678399293793915,-1,,1,1,1678399307770841
1678399852670638,-1,Restarted! | ,0,1,1678399864764635
1678399864764882,-1,,1,1,1678399877800865
1678400404021114,-1,Restarted! | ,0,1,1678400417768181
1678400417768325,-1,,1,1,1678400431757018
1678400451760025,-1,,0,2,1678400464760975
1678400464762843,-1,,1,2,1678400477765758
1678416894634295,-1,Restarted! | ,0,1,1678416907806413
1678416907806586,-1,,1,1,1678416919794419
1678416934795839,-1,,0,2,1678416946782710
1678417305390105,-1,Restarted! | ,0,1,1678417316783302
1678417316783576,-1,,1,1,1678417336813889
1678417346814977,-1,,0,2,1678417358780015
1678417358780629,-1,,1,2,1678417370798286
1678419748723249,-1,Restarted! | ,0,1,1678419761771800
1678419761772010,-1,,1,1,1678419780795565
1678419790796860,-1,,0,2,1678419802768300
1678419802768690,-1,,1,2,1678419814804184
1678420946919809,-1,Restarted! | ,0,1,1678420958788734
1678420958789035,-1,,1,1,1678420971797412
1678420986801477,-1,,0,2,1678420998763915
1678420998764250,-1,,1,2,1678421010785226
1678421076278746,-1,,0,2,0
1678421077403241,-1,,1,2,0
1678421222087700,-1,Restarted! | ,0,1,1678421233770370
1678421233770611,-1,,1,1,1678421246762050
1678421251762820,-1,,0,2,1678421263796452
1678421367133000,-1,Restarted! | ,0,1,1678421378793508
1678421378793765,-1,,1,1,1678421391790734
1678421396793799,-1,,0,2,1678421408810353
1678421408810742,-1,,1,2,1678421420778830
1678421464876484,-1,,0,2,0
1678421465988348,-1,,1,2,0
1678421762324236,-1,Restarted! | ,0,1,1678421774802863
1678421774803180,-1,,1,1,1678421786785315
1678421796787393,-1,,0,2,1678421808795185
1678421808795463,-1,,1,2,1678421820802266
1678421851278078,-1,,0,2,0
1678421852390532,-1,,1,2,0
1678422121612167,-1,Restarted! | ,0,1,1678422132763960
1678422132764204,-1,,1,1,1678422145772599
1678422175775717,-1,,0,2,1678422187815510
1678422187815786,-1,,1,2,1678422199770103
1678422219697743,-1,,0,2,0
1678422220697941,-1,,1,2,0
1678422261651018,-1,,0,2,0
1678422262775747,-1,,1,2,0
1678475940723052,-1,Restarted! | ,0,1,1678475964794868
1678475964795615,-1,,1,1,1678475977802622
1678475982804151,-1,,0,2,1678475995796448
1678475995798389,-1,,1,2,1678476008761075
1678476039649111,-1,,0,2,0
1678476040649210,-1,,1,2,0
1678476084914004,-1,,0,2,0
1678476086041451,-1,,1,2,0
1678476210006747,-1,Restarted! | ,0,1,1678476222776617
1678476222777346,-1,,1,1,1678476235767981
1678476240769990,-1,,0,2,1678476253834609
1678476253834876,-1,,1,2,1678476266782397
1678476328204708,-1,,0,2,0
1678476329324034,-1,,1,2,0
1678487705698439,-1,Restarted! | ,0,1,1678487717803014
1678487717803267,-1,,1,1,1678487730793194
1678487755795636,-1,,0,2,1678487768771808
1678487768772108,-1,,1,2,1678487780789762
1678487901748120,-1,Restarted! | ,0,1,1678487913780451
1678487913781895,-1,,1,1,1678487926788814
1678487941793232,-1,,0,2,1678487954768821
1678487954769036,-1,,1,2,1678487967769537
1678488028024675,-1,,0,2,0
1678488029136434,-1,,1,2,0
1678488111725874,-1,Restarted! | ,0,1,1678488123777860
1678488123779145,-1,,1,1,1678488136792702
1678488156796078,-1,,0,2,1678488168792181
1678488168793715,-1,,1,2,1678488181780839
1687748012208556,-1,Restarted! | ,0,1,1687748032317051
1687751364102987,-1,Restarted! | ,0,1,1687751384210149
1687751502045275,-1,Restarted! | ,0,1,1687751522158618
